,Listing ID,S,Sub Type,St#,St Name,City,MLS Area,SLC,L/C Price,Price Per Square Foot,Br/Ba,Sqft,YrBuilt,LSqft/Ac,DOM/CDOM,View YN,Pool Private YN,BAC,Contract Status Change Date,MLS,County
1,SB19192620,A,SFR/D,16532,Potter CIR  ,HB,16,STD,"$719,000 ",$643.69 ,"3/2,0,0,0",1117/A,1961/ASR,"6,344/0.1456",54/54,Y,N,2.5,8/12/19,CRMLSM,Orange
1,OC19222665,A,SFR/D,17111,Kampen LN  ,HB,16,STD,"$749,999 ",$581.85 ,"4/2,0,0,0",1289/A,1963/PUB,"6,000/0.1377",17/17,N,N,2.5,9/18/19,CRMLSM,Orange
1,OC19161366,A,SFR/D,8321,Darsy DR  ,HB,16,STD,"$764,900 ",$524.98 ,"4/2,0,1,0",1457/A,1965/ASR,"5,640/0.1295",80/80,Y,N,2.5,7/17/19,CRMLSM,Orange
1,OC19232345,A,SFR/D,9180,La Paloma AVE  ,FV,16,STD,"$775,000 ",$571.96 ,"3/2,0,0,0",1355/A,1964/ASR,"7,202/0.1653",1-Jan,N,N,3,10/4/19,CRMLSM,Orange
1,PW19225869,A,SFR/D,16371,Hemlock ST  ,FV,16,STD,"$789,000 ",$449.32 ,"4/2,0,0,0",1756/A,1963/ASR,"7,626/0.1751",6-Jun,Y,N,2,9/29/19,CRMLSM,Orange
1,IG19231163,A,SFR/D,16279,Mount Baden Powell ST  ,FV,16,STD,"$799,999 ",$366.30 ,"4/2,0,1,0",2184/A,1970/ASR,"6,038/0.1386",4-Apr,Y,N,1,10/1/19,CRMLSM,Orange
1,OC19227598,A,SFR/D,9114,Swallow AVE  ,FV,16,PRO,"$800,000 ",$580.55 ,"4/2,0,0,0",1378/A,1964/ASR,"7,200/0.1653",11-Nov,N,N,2.5,9/24/19,CRMLSM,Orange
1,OC19233324,A,SFR/D,18379,Gifford ST  ,FV,16,STD,"$830,000 ",$448.16 ,"3/2,0,0,0",1852/A,1971/ASR,"7,200/0.1653",4-Apr,N,N,2.5,10/1/19,CRMLSM,Orange
1,OC19200632,A,SFR/D,8561,Judy CIR  ,HB,16,STD,"$845,000 ",$563.33 ,"3/2,0,0,0",1500/E,1960/ASR,"6,150/0.1412",27/27,Y,Y,2,8/21/19,CRMLSM,Orange
1,PW19215681,A,SFR/D,11052,Stonecress AVE  ,FV,16,STD,"$849,900 ",$419.08 ,"4/2,0,1,0",2028/A,1970/PUB,"6,000/0.1377",29/29,Y,Y,2.5,9/6/19,CRMLSM,Orange
1,OC19195245,A,SFR/D,17674,Walnut ST  ,FV,16,STD,"$859,999 ",$427.01 ,"4/2,1,0,0",2014/A,1964/ASR,"7,204/0.1654",59/59,N,N,2,8/5/19,CRMLSM,Orange
1,OC19233376,A,SFR/D,9923,Dandelion CIR  ,FV,16,TRUS,"$897,900 ",$549.17 ,"3/2,0,0,0",1635/A,1968/PUB,"7,200/0.1653",6-Jun,Y,N,2.5,9/29/19,CRMLSM,Orange
1,OC19226348,A,SFR/D,9165,Wintergreen CIR  ,FV,16,STD,"$925,000 ",$486.84 ,"4/2,0,0,0",1900/A,1972/ASR,"10,000/0.2296",10-Oct,N,Y,2.5,9/25/19,CRMLSM,Orange
1,OC19233203,A,SFR/D,18780,Cordata ST  ,FV,16,STD,"$930,000 ",$398.46 ,"5/2,0,1,0",2334/A,1970/ASR,"6,000/0.1377",2-Feb,Y,N,2,10/1/19,CRMLSM,Orange
1,CV19235174,A,SFR/D,9102,Crocus AVE  ,FV,16,STD,"$959,888 ",$412.32 ,"4/3,0,1,0",2328/A,1973/ASR,"6,200/0.1423",2-Feb,Y,Y,2,10/3/19,CRMLSM,Orange
1,OC19220338,A,SFR/D,11122,Blue Allium AVE  ,FV,16,STD,"$995,000 ",$455.59 ,"4/2,0,1,0",2184/A,1970/EST,"6,000/0.1377",22/22,Y,Y,2,9/13/19,CRMLSM,Orange
1,OC19234592,A,SFR/D,16671,Daisy AVE  ,FV,16,STD,"$999,000 ",$406.76 ,"4/0,3,0,0",2456/A,1965/ASR,"7,442/0.1708",Feb-91,Y,N,2.5,10/3/19,CRMLSM,Orange
1,OC19226615,A,SFR/D,9599,Newfame CIR  ,FV,16,STD,"$999,000 ",$401.85 ,"4/2,0,1,0",2486/A,1973/ASR,"7,251/0.1665",12-Dec,N,Y,2.5,9/23/19,CRMLSM,Orange
1,OC19231461,A,SFR/D,9859,Peacock CIR  ,FV,16,STD,"$1,000,000 ",$579.04 ,"4/2,0,0,0",1727/S,1964/SLR,"8,432/0.1936",4-Apr,Y,Y,2.5,10/1/19,CRMLSM,Orange
1,OC19174250,A,SFR/D,17722,Walnut ST  ,FV,16,STD,"$1,049,000 ",$425.73 ,"5/3,0,0,0",2464/E,1964/ASR,"9,180/0.2107",77/200,N,Y,2,7/20/19,CRMLSM,Orange
1,OC19216466,A,SFR/D,18645,Plumosa ST  ,FV,16,STD,"$1,099,000 ",$421.72 ,"4/2,0,1,0",2606/A,1971/ASR,"6,000/0.1377",23/34,N,N,2.5,9/12/19,CRMLSM,Orange
